Strategy,Scenario,Hand_Number,Player_Cards,Dealer_Cards,Player_Total,Dealer_Total,Player_Action,Bet_Amount,Result,Money_Change,Player_Busted,Dealer_Busted,Is_Blackjack,Bankroll_After,Cards_Count,Deck_Penetration_%,Cards_Remaining,Reshuffled_After
S12,1,1,J of Diamonds | Q of Spades,7 of Clubs | A of Clubs,20,18,Stand,50.0,Win,50.0,False,False,False,2050.0,4,1.3%,308,False
S12,1,2,3 of Hearts | 4 of Hearts | 9 of Spades,7 of Clubs | 4 of Hearts | 3 of Diamonds | 5 of Clubs,16,19,Hit,50.0,Loss,-50.0,False,False,False,2000.0,7,3.5%,301,False
S12,1,3,10 of Hearts | Q of Hearts,5 of Spades | Q of Hearts | 6 of Diamonds,20,21,Stand,150.0,Loss,-150.0,False,False,False,1850.0,5,5.1%,296,False
S12,1,4,3 of Spades | 6 of Diamonds | 2 of Hearts | 4 of Clubs,J of Spades | 7 of Clubs,15,17,Hit,450.0,Loss,-450.0,False,False,False,1400.0,6,7.1%,290,False
S12,1,5,4 of Diamonds | 2 of Diamonds | 8 of Hearts,9 of Clubs | 7 of Spades | J of Clubs,14,26,Hit,1350.0,Win,1350.0,False,True,False,2750.0,6,9.0%,284,False
S12,1,6,2 of Hearts | 2 of Diamonds | 9 of Diamonds,6 of Clubs | K of Hearts | 5 of Diamonds,13,21,Hit,50.0,Loss,-50.0,False,False,False,2700.0,6,10.9%,278,False
S12,1,7,A of Diamonds | 6 of Clubs,4 of Clubs | 2 of Clubs | Q of Clubs | J of Hearts,17,26,Stand,150.0,Win,150.0,False,True,False,2850.0,6,12.8%,272,False
S12,1,8,5 of Diamonds | J of Hearts,3 of Clubs | A of Hearts | 8 of Clubs | K of Diamonds,15,22,Stand,50.0,Win,50.0,False,True,False,2900.0,6,14.7%,266,False
S12,1,9,7 of Diamonds | 3 of Spades | 2 of Spades,4 of Spades | 3 of Hearts | 8 of Diamonds | K of Hearts,12,25,Hit,50.0,Win,50.0,False,True,False,2950.0,7,17.0%,259,False
S12,1,10,10 of Clubs | 4 of Diamonds,8 of Diamonds | Q of Spades,14,18,Stand,50.0,Loss,-50.0,False,False,False,2900.0,4,18.3%,255,False
S12,1,11,8 of Hearts | J of Clubs,Q of Diamonds | J of Diamonds,18,20,Stand,150.0,Loss,-150.0,False,False,False,2750.0,4,19.6%,251,False
S12,1,12,Q of Hearts | 4 of Clubs,J of Spades | K of Spades,14,20,Stand,450.0,Loss,-450.0,False,False,False,2300.0,4,20.8%,247,False
S12,1,13,K of Clubs | 4 of Spades,K of Diamonds | 6 of Diamonds | 2 of Diamonds,14,18,Stand,1350.0,Loss,-1350.0,False,False,False,950.0,5,22.4%,242,False
S12,2,1,J of Spades | 7 of Clubs,4 of Diamonds | Q of Clubs | 9 of Diamonds,17,23,Stand,50.0,Win,50.0,False,True,False,2050.0,5,1.6%,307,False
S12,2,2,A of Hearts | 6 of Clubs,3 of Clubs | Q of Hearts | 4 of Clubs,17,17,Stand,50.0,Draw,0.0,False,False,False,2050.0,5,3.2%,302,False
S12,2,3,5 of Clubs | J of Diamonds,2 of Hearts | K of Hearts | Q of Spades,15,22,Stand,50.0,Win,50.0,False,True,False,2100.0,5,4.8%,297,False
S12,2,4,10 of Clubs | K of Clubs,5 of Hearts | 3 of Hearts | 2 of Spades | 10 of Spades,20,20,Stand,50.0,Draw,0.0,False,False,False,2100.0,6,6.7%,291,False
S12,2,5,5 of Hearts | 3 of Diamonds | 9 of Spades,5 of Hearts | 7 of Clubs | 10 of Spades,17,22,Hit,50.0,Win,50.0,False,True,False,2150.0,6,8.7%,285,False
S12,2,6,3 of Clubs | 9 of Clubs,6 of Spades | 2 of Clubs | 2 of Diamonds | 8 of Hearts,12,18,Stand,50.0,Loss,-50.0,False,False,False,2100.0,6,10.6%,279,False
S12,2,7,10 of Clubs | 3 of Diamonds,7 of Spades | J of Hearts,13,17,Stand,150.0,Loss,-150.0,False,False,False,1950.0,4,11.9%,275,False
S12,2,8,3 of Hearts | 5 of Spades | 7 of Clubs,3 of Diamonds | 4 of Spades | 8 of Diamonds | 10 of Clubs,15,25,Hit,450.0,Win,450.0,False,True,False,2400.0,7,14.1%,268,False
S12,2,9,2 of Hearts | 6 of Clubs | 5 of Diamonds,6 of Hearts | 8 of Hearts | 9 of Spades,13,23,Hit,50.0,Win,50.0,False,True,False,2450.0,6,16.0%,262,False
S12,2,10,A of Spades | K of Spades,A of Diamonds | 7 of Hearts,21,18,Blackjack,50.0,Blackjack,75.0,False,False,True,2525.0,4,17.3%,258,False
S12,2,11,J of Spades | 6 of Spades,10 of Diamonds | 7 of Diamonds,16,17,Stand,50.0,Loss,-50.0,False,False,False,2475.0,4,18.6%,254,False
S12,2,12,3 of Diamonds | 3 of Spades | 6 of Spades,4 of Spades | J of Hearts | A of Hearts | K of Clubs,12,25,Hit,150.0,Win,150.0,False,True,False,2625.0,7,20.8%,247,False
S12,2,13,5 of Diamonds | J of Spades,K of Diamonds | 2 of Clubs | 8 of Diamonds,15,20,Stand,50.0,Loss,-50.0,False,False,False,2575.0,5,22.4%,242,False
S12,2,14,A of Spades | 6 of Clubs,8 of Spades | 8 of Hearts | 9 of Clubs,17,25,Stand,150.0,Win,150.0,False,True,False,2725.0,5,24.0%,237,False
